Wavelength(nm)	Sca1(nm2)	Ext1(nm2)	Abs1(nm2)
400.0000	4.762715e+02	3.895502e+03	3.419230e+03	
404.0404	4.594090e+02	3.851261e+03	3.391852e+03	
408.0808	4.435808e+02	3.811903e+03	3.368322e+03	
412.1212	4.280150e+02	3.772369e+03	3.344354e+03	
416.1616	4.121198e+02	3.728432e+03	3.316312e+03	
420.2020	3.962088e+02	3.682235e+03	3.286026e+03	
424.2424	3.810058e+02	3.639297e+03	3.258292e+03	
428.2828	3.671362e+02	3.604935e+03	3.237799e+03	
432.3232	3.551305e+02	3.584197e+03	3.229067e+03	
436.3636	3.449232e+02	3.577517e+03	3.232594e+03	
440.4040	3.358459e+02	3.580108e+03	3.244262e+03	
444.4444	3.272418e+02	3.586856e+03	3.259614e+03	
448.4848	3.184760e+02	3.592438e+03	3.273962e+03	
452.5253	3.089503e+02	3.591406e+03	3.282456e+03	
456.5657	2.986944e+02	3.583309e+03	3.284614e+03	
460.6061	2.884701e+02	3.574250e+03	3.285780e+03	
464.6465	2.790286e+02	3.570917e+03	3.291888e+03	
468.6869	2.710741e+02	3.580266e+03	3.309192e+03	
472.7273	2.653093e+02	3.609783e+03	3.344473e+03	
476.7677	2.623914e+02	3.665680e+03	3.403288e+03	
480.8081	2.629411e+02	3.751894e+03	3.488953e+03	
484.8485	2.678137e+02	3.873779e+03	3.605965e+03	
488.8889	2.782454e+02	4.038903e+03	3.760658e+03	
492.9293	2.960610e+02	4.257658e+03	3.961597e+03	
496.9697	3.240023e+02	4.543811e+03	4.219808e+03	
501.0101	3.652890e+02	4.908538e+03	4.543249e+03	
505.0505	4.223290e+02	5.349272e+03	4.926943e+03	
509.0909	4.968289e+02	5.849136e+03	5.352307e+03	
513.1313	5.879349e+02	6.365746e+03	5.777811e+03	
517.1717	6.889351e+02	6.819356e+03	6.130421e+03	
521.2121	7.842691e+02	7.097633e+03	6.313364e+03	
525.2525	8.535544e+02	7.106058e+03	6.252504e+03	
529.2929	8.859842e+02	6.839379e+03	5.953395e+03	
533.3333	8.818133e+02	6.362530e+03	5.480716e+03	
537.3737	8.494767e+02	5.770340e+03	4.920863e+03	
541.4141	8.004080e+02	5.148127e+03	4.347719e+03	
545.4545	7.446634e+02	4.551805e+03	3.807142e+03	
549.4949	6.891488e+02	4.007957e+03	3.318808e+03	
553.5354	6.370863e+02	3.522421e+03	2.885335e+03	
557.5758	5.887911e+02	3.092075e+03	2.503284e+03	
561.6162	5.441667e+02	2.712583e+03	2.168416e+03	
565.6566	5.030375e+02	2.379415e+03	1.876377e+03	
569.6970	4.651903e+02	2.088132e+03	1.622942e+03	
573.7374	4.303984e+02	1.834526e+03	1.404128e+03	
577.7778	3.984347e+02	1.614675e+03	1.216240e+03	
581.8182	3.690787e+02	1.424960e+03	1.055882e+03	
585.8586	3.421506e+02	1.261996e+03	9.198458e+02	
589.8990	3.175927e+02	1.122313e+03	8.047200e+02	
593.9394	2.953124e+02	1.002533e+03	7.072205e+02	
597.9798	2.751629e+02	8.995862e+02	6.244233e+02	
602.0202	2.569721e+02	8.107692e+02	5.537971e+02	
606.0606	2.405604e+02	7.337514e+02	4.931910e+02	
610.1010	2.257525e+02	6.665512e+02	4.407987e+02	
614.1414	2.123830e+02	6.074968e+02	3.951138e+02	
618.1818	2.002998e+02	5.551859e+02	3.548861e+02	
622.2222	1.893485e+02	5.085485e+02	3.192001e+02	
626.2626	1.793728e+02	4.668532e+02	2.874804e+02	
630.3030	1.702423e+02	4.295106e+02	2.592683e+02	
634.3434	1.618486e+02	3.960315e+02	2.341829e+02	
638.3838	1.541013e+02	3.660062e+02	2.119049e+02	
642.4242	1.469245e+02	3.390892e+02	1.921648e+02	
646.4646	1.402536e+02	3.149862e+02	1.747326e+02	
650.5051	1.340340e+02	2.934444e+02	1.594105e+02	
654.5455	1.282185e+02	2.742450e+02	1.460265e+02	
658.5859	1.227665e+02	2.571963e+02	1.344299e+02	
662.6263	1.176433e+02	2.421191e+02	1.244758e+02	
666.6667	1.128226e+02	2.287751e+02	1.159525e+02	
670.7071	1.082820e+02	2.169192e+02	1.086372e+02	
674.7475	1.040009e+02	2.063379e+02	1.023369e+02	
678.7879	9.996067e+01	1.968452e+02	9.688455e+01	
682.8283	9.614388e+01	1.882793e+02	9.213540e+01	
686.8687	9.253471e+01	1.804990e+02	8.796431e+01	
690.9091	8.911864e+01	1.733816e+02	8.426297e+01	
694.9495	8.588233e+01	1.668201e+02	8.093774e+01	
698.9899	8.281356e+01	1.607212e+02	7.790764e+01	
703.0303	7.990110e+01	1.550038e+02	7.510273e+01	
707.0707	7.713461e+01	1.495992e+02	7.246460e+01	
711.1111	7.450426e+01	1.444712e+02	6.996699e+01	
715.1515	7.200086e+01	1.396035e+02	6.760264e+01	
719.1919	6.961601e+01	1.349811e+02	6.536507e+01	
723.2323	6.734202e+01	1.305902e+02	6.324819e+01	
727.2727	6.517187e+01	1.264181e+02	6.124626e+01	
731.3131	6.309908e+01	1.224530e+02	5.935389e+01	
735.3535	6.111770e+01	1.186837e+02	5.756600e+01	
739.3939	5.922225e+01	1.151000e+02	5.587778e+01	
743.4343	5.740769e+01	1.116924e+02	5.428469e+01	
747.4747	5.566932e+01	1.084518e+02	5.278244e+01	
751.5152	5.400284e+01	1.053698e+02	5.136695e+01	
755.5556	5.240423e+01	1.024386e+02	5.003436e+01	
759.5960	5.086979e+01	9.965001e+01	4.878022e+01	
763.6364	4.939613e+01	9.699238e+01	4.759625e+01	
767.6768	4.798012e+01	9.445367e+01	4.647355e+01	
771.7172	4.661884e+01	9.202294e+01	4.540410e+01	
775.7576	4.530953e+01	8.969025e+01	4.438072e+01	
779.7980	4.404963e+01	8.744655e+01	4.339692e+01	
783.8384	4.283672e+01	8.528359e+01	4.244687e+01	
787.8788	4.166854e+01	8.319388e+01	4.152534e+01	
791.9192	4.054294e+01	8.117059e+01	4.062765e+01	
795.9596	3.945794e+01	7.920752e+01	3.974958e+01	
800.0000	3.841164e+01	7.729900e+01	3.888736e+01	
